Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2020-12-28,2617.001708984375,2635.1369121818507,2592.52379758613,2599.6706585029765,2108994
2020-12-29,2617.98486328125,2637.19205473682,2608.6046069889953,2608.6046069889953,1994151
2020-12-30,2599.044921875,2633.3497613594045,2592.523368746157,2621.46806342957,2637968
2020-12-31,2557.459228515625,2595.203583560524,2541.6021326091877,2590.736795981246,4040956
2021-01-01,2615.97412109375,2626.4710718058996,2571.9762638534644,2572.869621360881,2681440
2021-01-04,2715.3154296875,2725.4104131325803,2627.3197152915122,2635.4046443468364,5113293
2021-01-05,2763.155029296875,2782.1388781079186,2715.4498211736627,2715.4498211736627,5801309
2021-01-06,2726.0810546875,2781.4692327607836,2713.3059958012286,2769.4089036641817,3726716
2021-01-07,2709.374755859375,2752.3006287216613,2680.2959246878345,2747.074399938369,3717827
2021-01-08,2788.0791015625,2794.4220265244885,2733.673721600043,2760.4744443608274,5879039
2021-01-11,2837.705322265625,2885.5446589159924,2810.9940208693038,2885.5446589159924,9508039
2021-01-12,2836.2763671875,2867.677798518108,2814.0763443401993,2837.7056084359856,3611458
2021-01-13,2822.07177734375,2838.196924675898,2792.8590291998826,2836.4102095832473,3572801
2021-01-14,2909.564208984375,2923.706165258729,2792.9381394627762,2823.907225284338,6931542
2021-01-15,2894.03515625,2930.4191675472043,2873.135469708774,2895.511914176911,4131692
2021-01-18,2883.651611328125,2914.978625030766,2852.906297614856,2908.9369866738284,4160906
2021-01-19,2918.5146484375,2934.8942483307096,2892.826535713588,2893.7215934288456,2975735
2021-01-20,2961.56689453125,2978.707161690894,2924.243032988775,2926.8386128521356,3453446
2021-01-21,2930.28466796875,2961.880029201729,2919.76774024708,2958.165627244179,2778546
2021-01-22,2956.465576171875,2976.0672550452355,2901.6878627066408,2901.6878627066408,3052459
2021-01-25,2945.90283203125,2989.3131213497177,2934.5802233960394,2961.700509705165,2272887
2021-01-27,2918.828125,2959.4636595207935,2888.3513648494254,2953.6905807260937,2786662
2021-01-28,2861.09619140625,2931.3134109352054,2849.684207898029,2891.0358220826606,3083938
2021-01-29,2784.837890625,2879.266478935346,2774.678898218704,2873.1800428094575,5445659
2021-02-01,2809.899169921875,2832.8573100025524,2724.6449333412297,2774.6785658792774,3985846
2021-02-02,2867.272705078125,2885.6661855416955,2819.431912052215,2840.9132980488034,2881837
2021-02-03,2864.229248046875,2896.406526539769,2830.753961158467,2875.820200794894,2505866
2021-02-04,2853.846435546875,2898.0624132535695,2842.7030118398384,2878.5501133600033,2057261
2021-02-05,2826.546875,2869.420261675178,2800.635003285282,2863.2442336240642,2366135
2021-02-08,2876.8046875,2887.4557854133027,2824.040867752225,2854.786183377473,2526592
2021-02-09,2843.508544921875,2905.1781477728023,2831.962388709635,2859.7091757039457,2658751
2021-02-10,2876.0888671875,2881.5485878862137,2825.9656374501346,2850.758691312665,2127983
2021-02-11,2869.554931640625,2881.4592425282754,2850.8035168861384,2877.610450787464,1165882
2021-02-12,2855.949462890625,2904.909063548408,2848.072913329544,2850.0419960898407,2777404
2021-02-15,2810.346923828125,2872.2400745488662,2802.9179014333436,2872.2400745488662,2630853
2021-02-16,2782.5546875,2835.2286881390305,2774.678138113635,2819.4310113090164,3435770
2021-02-17,2750.601318359375,2804.081004522971,2725.942440282055,2779.2431586478283,3678426
2021-02-18,2736.504638671875,2772.799052160748,2712.9197817982504,2743.3517423990884,4189909
2021-02-19,2749.482666015625,2763.1768719320535,2699.627784873394,2737.0860313434,3725028
2021-02-22,2647.983154296875,2771.0983728001697,2634.288729099401,2771.0983728001697,5366696
2021-02-23,2667.450927734375,2710.234729721283,2656.531267441469,2658.321382850796,3832829
2021-02-24,2638.71923828125,2688.1711676885798,2614.597262605096,2660.1110262187194,3774549
2021-02-25,2680.966064453125,2711.9349262026285,2656.9336805616276,2661.901293929805,4224073
2021-02-26,2590.5654296875,2660.4247237718946,2577.7660614423235,2649.3706742601657,5553153
2021-03-01,2617.327880859375,2653.846281489086,2597.278674268927,2618.9390285453846,3265871
2021-03-02,2690.856201171875,2707.5489361304726,2638.629508665333,2649.3701986599003,3306469
2021-03-03,2738.071533203125,2742.4572292230678,2682.398760587638,2716.5005517924315,3509857
2021-03-04,2729.6572265625,2758.0753064821515,2699.538624543818,2705.759231404921,3916760
2021-03-05,2692.377685546875,2741.740017961606,2682.1293211462335,2699.5829419357606,3203686
2021-03-08,2691.393310546875,2714.7096038985856,2681.5924738806993,2699.4936252417187,2003125
2021-03-09,2730.775634765625,2745.0517581806052,2678.10163202485,2691.393104782288,1942397
2021-03-10,2748.677490234375,2768.5925247123473,2738.876651802015,2752.3025177422214,3053778
2021-03-12,2737.041748046875,2789.89495082897,2722.1839208066626,2752.302526082478,2938317
2021-03-15,2744.380615234375,2773.783343113875,2721.870005295029,2721.870005295029,3097083
2021-03-16,2783.67431640625,2811.3763092419085,2738.8766336454123,2738.8766336454123,4894756
2021-03-17,2786.26953125,2823.9067472910974,2761.5212758489047,2779.153866985375,3838390
2021-03-18,2717.8427734375,2816.2543262885742,2673.5822127790716,2797.9056429836282,3656306
2021-03-19,2730.104736328125,2773.7835923282114,2689.648175200476,2712.0246159259377,5776626
2021-03-22,2801.217041015625,2809.988649545886,2701.8656434935315,2728.7621691393097,2821646
2021-03-23,2812.807861328125,2836.437292545344,2795.1304752354235,2810.4806243585926,3305973
2021-03-24,2793.564697265625,2821.490454025433,2784.6586982632953,2784.7034948526434,2207104
2021-03-25,2743.21728515625,2802.2910848695756,2729.9255928127855,2785.598130050755,3179786
2021-03-26,2744.96240234375,2790.789302934265,2723.7047865821437,2766.3093927439922,3697370
2021-03-30,2827.08447265625,2853.8466098214712,2739.681959284328,2759.462821376842,4694008
2021-03-31,2844.359375,2868.6601056476584,2803.3208895127823,2823.9072178840447,3530069
2021-04-01,2832.857421875,2877.610303737164,2814.9562691301344,2856.218513615022,4285076
2021-04-05,2899.00146484375,2920.572436628889,2820.326003008774,2838.227151869509,5317862
2021-04-06,2922.094482421875,2931.3136193408855,2891.036027624751,2931.3136193408855,2291562
2021-04-07,2928.091064453125,2933.595799277221,2895.332090546384,2916.9924386853572,2491268
2021-04-08,2969.21923828125,2985.0169165636457,2923.302742457414,2926.8381760609063,2578118
2021-04-09,2973.60546875,3002.3369085688078,2960.85089641809,3002.0235509632025,2911129
2021-04-12,2905.849609375,2987.792185224553,2875.999347777458,2973.605433321685,3791828
2021-04-13,2778.30419921875,2876.715760321008,2750.5574075043905,2876.715760321008,8654596
2021-04-15,2881.1455078125,2897.5251049711037,2763.445437906345,2828.6504689847543,6062760
2021-04-16,2859.843017578125,2906.2518385333483,2848.6102202432676,2890.1408027792368,3224657
2021-04-19,2829.992919921875,2854.3384408434645,2806.094927761785,2836.4372903834865,2679106
2021-04-20,2814.553466796875,2886.874165788868,2798.2634619087594,2886.5608082156655,3141893
2021-04-22,2791.505859375,2817.641499208782,2779.3777844403016,2817.641499208782,1988980
2021-04-23,2783.18212890625,2791.685177700143,2766.6683567947352,2779.154368951248,1615309
2021-04-26,2775.39453125,2822.1164922705734,2763.982547337393,2776.5133532022164,2490260
2021-04-27,2803.3203125,2806.9901359492337,2777.363642939815,2780.0488156529373,1471417
2021-04-28,2796.24951171875,2820.3264735454286,2785.4192274431525,2819.3866193694603,1639037
2021-04-29,2788.327392578125,2826.0093941912014,2779.6005834688603,2815.492470392857,1621395
2021-04-30,2717.081298828125,2803.3649756825475,2703.0737359158607,2773.7832806633287,3072305
2021-05-03,2718.289794921875,2734.400830914168,2688.7528956026713,2707.4595110968694,1545831
2021-05-04,2729.7021484375,2765.7282199104434,2716.5000477113904,2741.382694817809,1990777
2021-05-05,2770.830078125,2774.141747910938,2732.0740360118643,2747.827138939496,1939289
2021-05-06,2784.9267578125,2805.110349178889,2751.406896418604,2779.6012091177536,1791671
2021-05-07,2804.1259765625,2828.2479546354916,2785.2403915808145,2804.215569733949,1912540
2021-05-10,2815.40380859375,2832.1413427694974,2797.055126960887,2815.806540828046,2137153
2021-05-11,2794.906982421875,2799.829799280447,2766.757245751011,2797.0550332794637,2415625
2021-05-12,2763.579833984375,2792.5796117756176,2748.3638553304695,2792.5796117756176,1978558
2021-05-14,2731.26806640625,2773.335770525894,2720.974904759954,2773.335770525894,2043935
2021-05-17,2747.603271484375,2752.4812920623617,2717.3950752427927,2734.4011709047204,2890462
2021-05-18,2764.654052734375,2796.160037623328,2754.987386621192,2774.678654491779,2098538
2021-05-19,2758.567626953125,2790.7897017650366,2745.2313556195,2760.3577422204535,1986041
