Date,Close,High,Low,Open,Volume
,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS
2020-12-28,756.0076293945312,760.6824534054049,749.2004541087194,758.6320963881396,3884750
2020-12-29,767.57177734375,775.035057878074,758.8372352398815,761.912771183842,6760167
2020-12-30,771.50830078125,779.1356184025244,763.5529060344738,769.2939053279662,6382809
2020-12-31,775.9781494140625,779.0126378029964,766.8335369451214,770.1551053556741,3468390
2021-01-01,779.5457763671875,783.6464906037324,772.5745621650611,772.5745621650611,3142822
2021-01-04,804.0681762695312,807.5947809784,781.3092091787105,786.5170969404354,5259092
2021-01-05,813.0487060546875,816.698352250236,793.2422835398914,793.2422835398914,7150252
2021-01-06,802.2637329101562,818.5025510660905,792.3399745510798,818.420556805435,5995748
2021-01-07,789.428466796875,810.4651502972555,786.8450469306737,810.3011117206207,5261000
2021-01-08,815.7551879882812,823.0134329192568,795.5386446753156,799.5573650683457,8034775
2021-01-11,865.33251953125,868.5721431783805,826.7038194206224,832.4448181665989,13384331
2021-01-12,871.07373046875,873.4932120272639,851.8823671056425,862.7903074261759,6700542
2021-01-13,866.0298461914062,875.0924651880815,853.7687500101151,872.6320365137008,6691409
2021-01-14,842.86083984375,860.329924106637,825.5558442341204,860.329924106637,15021108
2021-01-15,811.7774658203125,863.4874677821264,807.0206468160372,859.2227645726362,23769415
2021-01-18,804.97021484375,824.2025748685921,801.1975777212965,820.1428577114111,12947569
2021-01-19,806.8976440429688,817.6825441620091,803.2070006641031,810.3012574042777,6387923
2021-01-20,819.5277099609375,828.0572152815224,809.9320289896657,813.3766388328844,7444118
2021-01-21,817.9219970703125,839.9078297236483,809.3994230192561,830.8500001874129,8857975
2021-01-22,811.7462158203125,826.732816773734,808.1231141092125,816.6045263809416,5379466
2021-01-25,780.2086181640625,820.9688573188077,774.8562635275808,820.9688573188077,7731883
2021-01-27,786.7960815429688,793.1777347422968,776.0913729505473,783.996368422995,7531736
2021-01-28,769.0509643554688,784.2434259377084,765.8806936369544,781.27901499603,6960905
2021-01-29,752.623291015625,781.8553772640438,748.9178152939945,774.8561453454083,7692663
2021-02-01,764.4395751953125,768.8861658967609,738.0895272074182,756.7404406523408,8651478
2021-02-02,786.0960693359375,792.9717649513912,770.3683541229937,779.7967408192808,7690178
2021-02-03,790.419189453125,801.4532429204347,784.3668820870095,795.4421477151208,6354619
2021-02-04,788.5663452148438,799.1063539188291,782.3905529751579,794.3715798684033,4623148
2021-02-05,779.096923828125,793.7129678392355,774.0739151676578,791.1602764764208,4631703
2021-02-08,788.6488037109375,794.1246938689108,775.1443822700808,786.3843461696114,6509526
2021-02-09,783.5845947265625,808.5348386213905,779.4673993985358,794.6186983091671,7557977
2021-02-10,790.048583984375,794.7009843286102,779.0968549842642,786.4254321644794,4896963
2021-02-11,799.0653076171875,800.79450959096,784.7786093473943,790.0486395911263,3745595
2021-02-12,790.8308715820312,812.3226103535807,788.5252020704448,802.8530614239646,8045740
2021-02-15,786.0960693359375,799.7651367695105,782.3493816413858,798.7358380091894,4643228
2021-02-16,784.1610107421875,792.354239482267,777.4088003643776,788.031184395458,3277086
2021-02-17,776.667724609375,789.184008262983,774.8561486415699,783.9139782218646,3643176
2021-02-18,780.7025146484375,787.8252822739249,772.6739842045694,777.3264347704052,5133094
2021-02-19,782.390625,788.8546013691043,777.6970124140119,782.2670890403435,5494816
2021-02-22,757.6875,783.4611335071954,754.3113695702658,781.8554172273357,5043203
2021-02-23,749.288330078125,765.7982720199273,746.488617367249,760.8576380068954,5916942
2021-02-24,754.2701416015625,757.1110162696025,745.624031899798,755.9170196399939,3435827
2021-02-25,765.1808471679688,769.1333451241912,759.3344491763416,762.4223460575682,6234947
2021-02-26,748.876708984375,761.6811770989949,745.2947186989929,747.6827122225809,9198218
2021-03-01,766.0864868164062,769.4626170182629,753.9819731977092,754.2701567567334,5397960
2021-03-02,785.3550415039062,788.772333871873,764.6455280386058,768.9685833129392,6715548
2021-03-03,794.8245239257812,797.0889812589031,779.7967616241542,794.6186641682248,5742015
2021-03-04,788.8546142578125,798.6535591104365,783.37872444157,783.9139799305193,6268541
2021-03-05,775.267822265625,800.3827118876128,770.9859293930814,787.2900116205278,5992152
2021-03-08,792.0659790039062,801.2061316250174,777.3264010832645,784.3256324489507,5621823
2021-03-09,801.3297729492188,804.4176695460142,781.5260225681171,793.8776089552989,5440319
