Date,Close,High,Low,Open,Volume
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
28-12-2020,1091.861328,1098.639751556463,1088.075907791497,1090.2326495757873,4607051
29-12-2020,1100.664551,1104.3177941793053,1087.1956067576748,1087.1956067576748,6878105
30-12-2020,1097.5833740234375,1103.305455874379,1089.968582068067,1103.041316804562,5194690
31-12-2020,1105.5062255859375,1107.7950367699373,1090.7168022322983,1094.2380832725962,7430470
01-01-2021,1109.599609,1114.0452695948306,1105.5062062061872,1107.3548572277425,4253550
04-01-2021,1134.0726318359375,1135.6131923682199,1110.2159730853582,1117.1264659808303,7208454
05-01-2021,1138.958496,1143.5361188661745,1122.4524897590766,1128.5706731227374,8145280
06-01-2021,1128.658691,1146.1770877418114,1116.2902550512151,1144.416447054036,7161715
07-01-2021,1111.096435546875,1142.3478103430095,1105.242283283007,1140.895260163104,10954918
08-01-2021,1155.068115234375,1159.2056846592145,1125.2692978970617,1125.2692978970617,13186251
11-01-2021,1211.496826171875,1217.7911381846839,1179.6292723945633,1181.477923642687,20528626
12-01-2021,1207.5794677734375,1213.081470086967,1197.2357034240022,1213.081470086967,8309868
13-01-2021,1221.13623,1226.1100612683126,1197.2355146942416,1209.427928406839,14442997
14-01-2021,1206.4788818359375,1218.3632050061565,1160.6581706285956,1197.2355193702117,27521697
15-01-2021,1183.9866943359375,1201.152939458616,1179.6291520199532,1197.2355572739823,15018441
18-01-2021,1155.0245361328125,1179.6294507212945,1149.6985542104558,1177.8688097500687,8861765
19-01-2021,1159.07373,1171.706305,1154.980219631064,1162.0227819458878,5585744
20-01-2021,1179.1451416015625,1187.0240738239052,1162.5071716603345,1162.5071716603345,8225838
21-01-2021,1179.364990234375,1198.1599134497121,1175.227528063781,1188.4323317498906,6142421
22-01-2021,1180.3775634765625,1193.7144387646922,1167.7890464824043,1168.185147670167,9646591
25-01-2021,1166.512451171875,1186.5837977384417,1155.8605966401967,1184.0308472818467,6542611
27-01-2021,1145.296630859375,1168.6691761875868,1131.2995175680549,1161.6705658114433,8133665
28-01-2021,1123.464599609375,1141.2910837125905,1120.2515168385528,1137.1976807391404,4660690
29-01-2021,1090.7608642578125,1136.6255284428273,1083.6742431601515,1132.311937664293,12183519
